CPU,Memory,Disk,DiskType,InnoDB,Warehouse,Connections,TpmC,price per month,cost performance ratio,Load Avg Utl,Run Avg Utl,System,Platform,Region,Zone,Provider,IdleL,IdleR
8,30,10,0,32,5,10,1177,194.58,0.1653,14.6,6.6,D,GCP,Iowa,us-central1-a,Google,85.4,93.4
8,30,10,0,64,5,10,1737,194.58,0.112,14.8,8.9,D,GCP,Iowa,us-central1-a,Google,85.2,91.1
8,30,10,0,128,5,10,3393,194.58,0.0573,13.9,15,D,GCP,Iowa,us-central1-a,Google,86.1,85
8,30,10,0,256,5,10,8408,194.58,0.0231,14.7,37.4,D,GCP,Iowa,us-central1-a,Google,85.3,62.6
8,30,10,0,512,5,10,22670,194.58,0.0086,15.1,76.8,D,GCP,Iowa,us-central1-a,Google,84.9,23.2
8,30,10,0,1024,5,10,24047,194.58,0.0081,14.8,79.3,D,GCP,Iowa,us-central1-a,Google,85.2,20.7
8,30,500,0,16,5,10,2756,214.18,0.0777,14.2,15.2,D,GCP,Iowa,us-central1-a,Google,85.8,84.8
8,30,500,0,32,5,10,3786,214.18,0.0566,15,18.5,D,GCP,Iowa,us-central1-a,Google,85,81.5
8,30,500,0,64,5,10,5531,214.18,0.0387,14.7,26.5,D,GCP,Iowa,us-central1-a,Google,85.3,73.5
8,30,500,0,128,5,10,10499,214.18,0.0204,13.9,47.3,D,GCP,Iowa,us-central1-a,Google,86.1,52.7
8,30,500,0,256,5,10,16247,214.18,0.0132,14.3,59.1,D,GCP,Iowa,us-central1-a,Google,85.7,40.9
8,30,500,0,512,5,10,21449,214.18,0.01,14.5,73.7,D,GCP,Iowa,us-central1-a,Google,85.5,26.3
8,30,500,0,1024,5,10,22234,214.18,0.0096,14.8,74.1,D,GCP,Iowa,us-central1-a,Google,85.2,25.9
1,3.75,500,0,16,5,10,2817,44.27,0.0157,93.8,63.4,A,GCP,Iowa,us-central1-a,Google,6.2,36.6
1,3.75,500,0,32,5,10,3290,44.27,0.0135,92.3,70.2,A,GCP,Iowa,us-central1-a,Google,7.7,29.8
1,3.75,500,0,64,5,10,3777,44.27,0.0117,91.9,85.8,A,GCP,Iowa,us-central1-a,Google,8.1,14.2
1,3.75,500,0,128,5,10,4344,44.27,0.0102,93.2,93.6,A,GCP,Iowa,us-central1-a,Google,6.8,6.4
1,3.75,500,0,256,5,10,4718,44.27,0.0094,92.8,97.2,A,GCP,Iowa,us-central1-a,Google,7.2,2.8
1,3.75,500,0,512,5,10,4864,44.27,0.0091,93.7,97.8,A,GCP,Iowa,us-central1-a,Google,6.3,2.2
1,3.75,500,0,1024,5,10,4844,44.27,0.0091,92.5,96.9,A,GCP,Iowa,us-central1-a,Google,7.5,3.1
2,7.5,500,0,16,5,10,2809,68.54,0.0244,56.1,53.6,B,GCP,Iowa,us-central1-a,Google,43.9,46.4
2,7.5,500,0,32,5,10,3734,68.54,0.0184,55.7,64.9,B,GCP,Iowa,us-central1-a,Google,44.3,35.1
2,7.5,500,0,64,5,10,4971,68.54,0.0138,56.4,78.2,B,GCP,Iowa,us-central1-a,Google,43.6,21.8
2,7.5,500,0,128,5,10,6236,68.54,0.011,56.2,86.7,B,GCP,Iowa,us-central1-a,Google,43.8,13.3
2,7.5,500,0,256,5,10,7538,68.54,0.0091,55.9,96,B,GCP,Iowa,us-central1-a,Google,44.1,4
2,7.5,500,0,512,5,10,8056,68.54,0.0085,56,97.7,B,GCP,Iowa,us-central1-a,Google,44,2.3
2,7.5,500,0,1024,5,10,8249,68.54,0.0083,56.3,97.5,B,GCP,Iowa,us-central1-a,Google,43.7,2.5
4,15,500,0,16,5,10,2799,117.09,0.0418,27.8,30.2,C,GCP,Iowa,us-central1-a,Google,72.2,69.8
4,15,500,0,32,5,10,3809,117.09,0.0307,28.3,39.8,C,GCP,Iowa,us-central1-a,Google,71.7,60.2
4,15,500,0,64,5,10,5533,117.09,0.0212,28,52.5,C,GCP,Iowa,us-central1-a,Google,72,47.5
4,15,500,0,128,5,10,9091,117.09,0.0129,27.6,71.3,C,GCP,Iowa,us-central1-a,Google,72.4,28.7
4,15,500,0,256,5,10,12891,117.09,0.0091,29.3,89.8,C,GCP,Iowa,us-central1-a,Google,70.7,10.2
4,15,500,0,512,5,10,15151,117.09,0.0077,28.5,94.5,C,GCP,Iowa,us-central1-a,Google,71.5,5.5
4,15,500,0,1024,5,10,15646,117.09,0.0075,28.9,93.6,C,GCP,Iowa,us-central1-a,Google,71.1,6.4
16,60,500,0,16,5,10,2491,408.36,0.1639,6.9,8.5,F,GCP,Iowa,us-central1-a,Google,93.1,91.5
16,60,500,0,32,5,10,3880,408.36,0.1052,7.7,12.3,F,GCP,Iowa,us-central1-a,Google,92.3,87.7
16,60,500,0,64,5,10,5569,408.36,0.0733,7.3,16.8,F,GCP,Iowa,us-central1-a,Google,92.7,83.2
16,60,500,0,128,5,10,10793,408.36,0.0378,7.5,29.3,F,GCP,Iowa,us-central1-a,Google,92.5,70.7
16,60,500,0,256,5,10,18466,408.36,0.0221,7.4,38.6,F,GCP,Iowa,us-central1-a,Google,92.6,61.4
16,60,500,0,512,5,10,26065,408.36,0.0157,6.8,43.7,F,GCP,Iowa,us-central1-a,Google,93.2,56.3
16,60,500,0,1024,5,10,27768,408.36,0.0147,7.6,42.5,F,GCP,Iowa,us-central1-a,Google,92.4,57.5
1,3.75,10,1,16,1,10,1611,25.97,0.0161,92.6,39.6,A,GCP,Iowa,us-central1-a,Google,7.4,60.4
1,3.75,10,1,32,1,10,3299,25.97,0.0079,92.9,64.6,A,GCP,Iowa,us-central1-a,Google,7.1,35.4
1,3.75,10,1,64,1,10,6093,25.97,0.0043,93.7,92.9,A,GCP,Iowa,us-central1-a,Google,6.3,7.1
1,3.75,10,1,128,1,10,6775,25.97,0.0038,93,97.2,A,GCP,Iowa,us-central1-a,Google,7,2.8
1,3.75,10,1,256,1,10,6860,25.97,0.0038,93.5,96.8,A,GCP,Iowa,us-central1-a,Google,6.5,3.2
1,3.75,10,1,512,1,10,6879,25.97,0.0038,92.6,96.1,A,GCP,Iowa,us-central1-a,Google,7.4,3.9
1,3.75,10,1,1024,1,10,6852,25.97,0.0038,93.4,97.2,A,GCP,Iowa,us-central1-a,Google,6.6,2.8
2,7.5,10,1,16,1,10,1548,50.24,0.0325,56.8,31.5,B,GCP,Iowa,us-central1-a,Google,43.2,68.5
2,7.5,10,1,32,1,10,3612,50.24,0.0139,56.4,53.8,B,GCP,Iowa,us-central1-a,Google,43.6,46.2
2,7.5,10,1,64,1,10,7654,50.24,0.0066,57.1,93.2,B,GCP,Iowa,us-central1-a,Google,42.9,6.8
2,7.5,10,1,128,1,10,8637,50.24,0.0058,56.9,96.6,B,GCP,Iowa,us-central1-a,Google,43.1,3.4
2,7.5,10,1,256,1,10,8741,50.24,0.0057,56.3,97.1,B,GCP,Iowa,us-central1-a,Google,43.7,2.9
2,7.5,10,1,512,1,10,8785,50.24,0.0057,57,97.4,B,GCP,Iowa,us-central1-a,Google,43,2.6
2,7.5,10,1,1024,1,10,8713,50.24,0.0058,56.2,96.3,B,GCP,Iowa,us-central1-a,Google,43.8,3.7
4,15,10,1,16,1,10,1555,98.79,0.0635,28.8,15.1,C,GCP,Iowa,us-central1-a,Google,71.2,84.9
4,15,10,1,32,1,10,3765,98.79,0.0262,27.9,30.7,C,GCP,Iowa,us-central1-a,Google,72.1,69.3
4,15,10,1,64,1,10,9185,98.79,0.0108,29.2,58.9,C,GCP,Iowa,us-central1-a,Google,70.8,41.1
4,15,10,1,128,1,10,13682,98.79,0.0072,28.3,87.2,C,GCP,Iowa,us-central1-a,Google,71.7,12.8
4,15,10,1,256,1,10,13989,98.79,0.0071,28.6,88.6,C,GCP,Iowa,us-central1-a,Google,71.4,11.4
4,15,10,1,512,1,10,14028,98.79,0.007,28.4,89.9,C,GCP,Iowa,us-central1-a,Google,71.6,10.1
4,15,10,1,1024,1,10,14087,98.79,0.007,28,87.4,C,GCP,Iowa,us-central1-a,Google,72,12.6
8,30,10,1,16,1,10,1550,195.88,0.1264,14.3,8.1,D,GCP,Iowa,us-central1-a,Google,85.7,91.9
8,30,10,1,32,1,10,3545,195.88,0.0553,14.7,14.7,D,GCP,Iowa,us-central1-a,Google,85.3,85.3
8,30,10,1,64,1,10,8917,195.88,0.022,14.2,32.3,D,GCP,Iowa,us-central1-a,Google,85.8,67.7
8,30,10,1,128,1,10,19211,195.88,0.0102,15.1,63.2,D,GCP,Iowa,us-central1-a,Google,84.9,36.8
8,30,10,1,256,1,10,19618,195.88,0.01,14.8,64.7,D,GCP,Iowa,us-central1-a,Google,85.2,35.3
8,30,10,1,512,1,10,19450,195.88,0.0101,14.2,65.3,D,GCP,Iowa,us-central1-a,Google,85.8,34.7
8,30,10,1,1024,1,10,19553,195.88,0.01,14.8,64.8,D,GCP,Iowa,us-central1-a,Google,85.2,35.2
1,3.75,10,1,16,5,10,1297,25.97,0.02,92.1,28.3,A,GCP,Iowa,us-central1-a,Google,7.9,71.7
1,3.75,10,1,32,5,10,1900,25.97,0.0137,93.6,39.8,A,GCP,Iowa,us-central1-a,Google,6.4,60.2
1,3.75,10,1,64,5,10,2906,25.97,0.0089,92.7,56.5,A,GCP,Iowa,us-central1-a,Google,7.3,43.5
1,3.75,10,1,128,5,10,4753,25.97,0.0055,92.3,77.3,A,GCP,Iowa,us-central1-a,Google,7.7,22.7
1,3.75,10,1,256,5,10,6344,25.97,0.0041,93.4,93.7,A,GCP,Iowa,us-central1-a,Google,6.6,6.3
1,3.75,10,1,512,5,10,6579,25.97,0.0039,93.7,97.2,A,GCP,Iowa,us-central1-a,Google,6.3,2.8
1,3.75,10,1,1024,5,10,6772,25.97,0.0038,93.1,97.6,A,GCP,Iowa,us-central1-a,Google,6.9,2.4
2,7.5,10,1,16,5,10,1216,50.24,0.0413,57.2,24.6,B,GCP,Iowa,us-central1-a,Google,42.8,75.4
2,7.5,10,1,32,5,10,1868,50.24,0.0269,56.7,34.1,B,GCP,Iowa,us-central1-a,Google,43.3,65.9
